condition,query_dataset,rank,model_name,recommendation_score,source_method,reasoning
C_method2_only,deepset/covid_qa_deepset,3,nvidia/Llama3-ChatQA-2-8B,0.72,method2,"Purpose-built for context QA and RAG-style answering, with measured results on AdaptLLM/ConvFinQA f1=0.7852, McGill-NLP/TopiOCQA f1=0.5575, THUDM/LongBench f1=0.5384, and IBM/doc2dial f1=0.4076. Its GNN link is weak, so it ranks below models with stronger query-specific graph support."
C_method2_only,deepset/covid_qa_deepset,4,microsoft/Orca-2-13b,0.67,method2,"Strong measured comprehension and reasoning results on QA-like benchmarks: allenai/ai2_arc accuracy=0.9285, EleutherAI/race accuracy=0.8287, and EleutherAI/drop f1=0.5797. It lacks strong graph support for this query, but the measured evidence is competitive for an English QA dataset."
C_method2_only,deepset/covid_qa_deepset,5,tensorblock/deepseek-llm-7b-chat-GGUF,0.58,method2,"A chat model with consistent measured general QA and exam-style results, including allenai/ai2_arc accuracy=0.71, EleutherAI/race accuracy=0.652, and allenai/openbookqa accuracy=0.548. Its evidence is less specialized for biomedical QA than the higher-ranked models."
D_claude_baseline,deepset/covid_qa_deepset,1,deepset/deberta-v3-large-squad2,0.95,claude_baseline,"DeBERTa-v3-large fine-tuned on SQuAD2 by the same team that built COVID-QA; state-of-the-art extractive QA backbone with strong span prediction and no-answer handling, transferring almost directly to this task."
D_claude_baseline,deepset/covid_qa_deepset,2,deepset/roberta-large-squad2,0.9,claude_baseline,"RoBERTa-large fine-tuned on SQuAD2 by deepset; a proven, robust extractive QA model that has historically been a strong baseline reported on COVID-QA itself."
D_claude_baseline,deepset/covid_qa_deepset,3,michiyasunaga/BioLinkBERT-large,0.88,claude_baseline,"BioLinkBERT-large is pretrained on PubMed with citation links and achieves SOTA on biomedical QA (BioASQ, PubMedQA); its domain-matched pretraining is ideal for COVID scientific-article passages."
D_claude_baseline,deepset/covid_qa_deepset,4,deepset/bert-large-uncased-whole-word-masking-squad2,0.85,claude_baseline,BERT-large WWM fine-tuned on SQuAD2 by deepset; classic strong extractive QA baseline that consistently performs well on transfer to COVID-QA.
D_claude_baseline,deepset/covid_qa_deepset,5,deepset/deberta-v3-base-squad2,0.82,claude_baseline,Smaller DeBERTa-v3 variant already fine-tuned on SQuAD2; excellent efficiency/accuracy trade-off and a very strong extractive QA starting point for further fine-tuning on COVID-QA.
A_merged,dreamerdeo/finqa,1,bartowski/Yi-Coder-9B-Chat-GGUF,0.88,method1,Best measured result on the highly relevant Arietem/tabmwp table-question-answering benchmark with accuracy=0.812. This is the strongest direct evidence for FinQA-style table-and-text reasoning.
A_merged,dreamerdeo/finqa,2,OctoThinker/OctoThinker-8B-Short-Base,0.79,method1,"Strong measured performance on Arietem/tabmwp with accuracy=0.689, the second-best result on the most similar table-QA dataset. Its result is directly grounded in tabular question answering rather than only predicted fit."
A_merged,dreamerdeo/finqa,3,tensorblock/deepseek-coder-6.7b-base-GGUF,0.77,method1,"Measured accuracy=0.679 on Arietem/tabmwp, very close to the second-ranked model on the most relevant table-QA benchmark. Code-oriented reasoning may help with FinQA-style numerical and structured-table operations."
A_merged,dreamerdeo/finqa,4,llm-agents/tora-code-13b-v1.0,0.74,method1,"Measured accuracy=0.654 on Arietem/tabmwp, giving it solid direct evidence on table-question-answering. Its 13B size remains within the constraint and its code/reasoning orientation is plausible for financial calculation questions."
A_merged,dreamerdeo/finqa,5,ChanceFocus/finma-7b-full,0.70,method2,"The GNN recommends it for the finance QA neighborhood, and its measured financial-domain record is strong: AdaptLLM/Headline f1=0.97, ArtGarfunkel/FinancialPhraseBank accuracy=0.87 and f1=0.87, and AdaptLLM/FiQA_SA f1=0.79. I rank it below the best Source A models because the query-fit evidence is predictive rather than a direct table-QA measurement."
B_method1_only,dreamerdeo/finqa,1,bartowski/Yi-Coder-9B-Chat-GGUF,0.86,method1,"Best measured result on Arietem/tabmwp with accuracy=0.812, the closest table-question-answering neighbor to the FinQA-style text-plus-table task. This is the most directly grounded evidence for tabular QA among the retrieved datasets."
B_method1_only,dreamerdeo/finqa,2,OctoThinker/OctoThinker-8B-Short-Base,0.78,method1,"Second-best measured model on Arietem/tabmwp with accuracy=0.689, giving direct support for table-based QA. Its result is clearly above most other TabMWP models such as llm-agents/tora-code-13b-v1.0 at accuracy=0.654."
B_method1_only,dreamerdeo/finqa,3,open-thoughts/OpenThinker3-7B,0.76,method1,"Strong measured numerical-reasoning evidence on ScaleFrontierData/amc23 with accuracy=0.935. The same score also appears for derived GGUF variants on that dataset, which supports the reliability of this model family for math-heavy QA."
B_method1_only,dreamerdeo/finqa,4,tensorblock/deepseek-coder-6.7b-base-GGUF,0.73,method1,"Third-best measured result on Arietem/tabmwp with accuracy=0.679, very close to OctoThinker/OctoThinker-8B-Short-Base at accuracy=0.689. This provides task-aligned evidence for tabular question answering."
B_method1_only,dreamerdeo/finqa,5,albert/albert-xxlarge-v1,0.70,method1,"Excellent measured QA performance on the most similar retrieved dataset allenai/squad_v2 with accuracy=0.902 and f1=0.874. It lacks direct table evidence, so it ranks below models with measured TabMWP or math-QA strength."
C_method2_only,dreamerdeo/finqa,1,ChanceFocus/finma-7b-full,0.88,method2,"Best domain match: it has measured finance results on AdaptLLM/Headline with f1=0.97, ArtGarfunkel/FinancialPhraseBank with accuracy=0.87 and f1=0.87, AdaptLLM/FiQA_SA with f1=0.79, and AdaptLLM/NER with f1=0.69. This finance-specific track record is more relevant to AdaptLLM/ConvFinQA than higher GNN predictions from non-finance models."
C_method2_only,dreamerdeo/finqa,2,meta-llama/Meta-Llama-3-8B,0.78,method2,"Strong general-purpose 8B baseline with consistent measured results across reasoning and QA-style datasets: allenai/ai2_arc accuracy=0.786, allenai/winogrande accuracy=0.761, HuggingFaceFW/CommonsenseQA accuracy=0.726, and Joschka/big_bench_hard accuracy=0.611. Its allenai/quac f1=0.444 is directly QA-relevant, making it a robust non-domain-specialized choice."
C_method2_only,dreamerdeo/finqa,3,dmis-lab/llama-3-meerkat-8b-v1.0,0.73,method2,"Highest GNN-ranked eligible model and backed by strong measured QA performance, including GBaker/MedQA-USMLE-4-options accuracy=0.74, araag2/MedMCQA accuracy=0.627, and LangAGI-Lab/medbullets accuracy=0.623. The domain is medical rather than financial, but the consistent question-answering evidence makes it promising."
C_method2_only,dreamerdeo/finqa,4,m42-health/Llama3-Med42-8B,0.68,method2,"Another strong 8B QA-oriented model with measured results on AIDx/USMLE accuracy=0.6704, araag2/MedQA accuracy=0.6284, and TIGER-Lab/MMLU-Pro accuracy=0.543. It has a high predicted-performance score, but its measured evidence is less finance-aligned than FinMA and somewhat weaker than Meerkat."
C_method2_only,dreamerdeo/finqa,5,qihoo360/360Zhinao-7B-Base,0.62,method2,"Good measured general language competence across several benchmarks, with Rowan/hellaswag accuracy=0.8305, EleutherAI/lambada_openai accuracy=0.7859, and SeaEval/cmmlu accuracy=0.7238. Although not finance-specific, this consistent broad capability makes it a better fifth choice than more niche or less consistent alternatives."
D_claude_baseline,dreamerdeo/finqa,1,Qwen/Qwen2.5-14B-Instruct,0.92,claude_baseline,Largest allowed general-purpose Qwen2.5 instruct with strong math and table/QA reasoning; consistently among top open models on FinQA-style numerical reasoning benchmarks.
D_claude_baseline,dreamerdeo/finqa,2,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,0.9,claude_baseline,R1-distilled reasoning model built on Qwen2.5-14B; explicit chain-of-thought training excels at multi-step financial arithmetic that FinQA requires.
D_claude_baseline,dreamerdeo/finqa,3,Qwen/Qwen2.5-Math-7B-Instruct,0.86,claude_baseline,Math-specialized 7B tuned for numerical/program-of-thought reasoning; well-suited to FinQA's arithmetic program generation over tables.
D_claude_baseline,dreamerdeo/finqa,4,Qwen/Qwen2.5-Coder-14B-Instruct,0.83,claude_baseline,Strong code generation at 14B enables program-of-thought solutions (executing arithmetic programs) which matches FinQA's evaluation format.
D_claude_baseline,dreamerdeo/finqa,5,ChanceFocus/finma-7b-full,0.78,claude_baseline,"FinMA is explicitly instruction-tuned on financial NLP tasks including FinQA, giving strong in-domain performance despite smaller size."
A_merged,embedding-data/Amazon-QA,1,albert/albert-xxlarge-v1,0.86,method1,"Best grounded fit from a highly similar English QA benchmark: on allenai/squad_v2 it reached accuracy=0.902 and f1=0.874. This measured result is on a question-answering dataset close to Amazon-QA, so it outweighs GNN-only predictions."
A_merged,embedding-data/Amazon-QA,2,Mungert/Llama-3.1-8B-Instruct-GGUF,0.78,method1,"Strong measured performance on another similar English QA dataset: awinml/triviaqa with accuracy=0.776. It is less directly sentence-similarity focused than the query, but the real QA result is a solid grounded signal."
A_merged,embedding-data/Amazon-QA,3,sdadas/mmlw-roberta-base,0.72,method2,"The GNN recommends it and its measured record is directly relevant to sentence similarity: PL-MTEB/cdsce-pairclassification accuracy=0.892 and f1=0.7. Its other MTEB results are mixed, including PL-MTEB/cbd accuracy=0.6811 and PL-MTEB/allegro-reviews accuracy=0.4026, so it ranks below the strongest Source A evidence."
A_merged,embedding-data/Amazon-QA,4,hfl/chinese-macbert-large,0.68,method1,"It has a strong measured result on the sentence-pair dataset C-MTEB/LCQMC with accuracy=0.876, which is task-aligned with paraphrase and similarity mining. The main caveat is language mismatch because LCQMC and the model are Chinese while Amazon-QA is English."
A_merged,embedding-data/Amazon-QA,5,mradermacher/granite-3.3-8b-qiskit-GGUF,0.60,method2,"This is the top GNN-ranked candidate and has several real text-task results including allenai/sciq accuracy=0.933, HuggingFaceH4/ifeval accuracy=0.5971, and EleutherAI/truthful_qa_mc accuracy=0.3905. It is not as task-specific as the sentence-similarity models and is supported only by predictions for the query."
B_method1_only,embedding-data/Amazon-QA,1,albert/albert-xxlarge-v1,0.91,method1,"Strongest evidence comes from allenai/squad_v2, an English QA dataset very similar to Amazon-QA, where it achieved accuracy=0.902 and f1=0.874. This is the highest-quality measured result among the close QA neighbors."
B_method1_only,embedding-data/Amazon-QA,2,Mungert/Llama-3.1-8B-Instruct-GGUF,0.80,method1,"It performed well on awinml/triviaqa, another English question-answering benchmark, with accuracy=0.776. This gives direct measured support for QA-style query-answer understanding."
B_method1_only,embedding-data/Amazon-QA,3,state-spaces/mamba-2.8b-slimpj,0.63,method1,"It was the best measured model on the closest retrieved neighbor mib-bench/arc_challenge, with accuracy=0.3882. Although the absolute score is modest, it outperformed amd/AMD-OLMo-1B at accuracy=0.337 and winglian/basilisk-4b at accuracy=0.3285 on that dataset."
B_method1_only,embedding-data/Amazon-QA,4,hfl/chinese-macbert-large,0.59,method1,"It achieved accuracy=0.876 on C-MTEB/LCQMC, which is highly relevant because it is a sentence-pair semantic similarity and paraphrase-style benchmark. The main caveat is that LCQMC is Chinese while Amazon-QA is English."
B_method1_only,embedding-data/Amazon-QA,5,CATIE-AQ/QAmembert-large,0.55,method1,"It showed strong measured QA performance on CATIE-AQ/frenchQA with accuracy=0.7714 and f1=0.8874. The result is encouraging for QA behavior, though the French-language setting makes transfer to English Amazon-QA less certain."
C_method2_only,embedding-data/Amazon-QA,1,mradermacher/granite-3.3-8b-qiskit-GGUF,0.78,method2,"It has the strongest GNN recommendation and a broad measured record, including allenai/sciq accuracy=0.933, HuggingFaceH4/ifeval accuracy=0.5971, ZHENGRAN/mbpp accuracy=0.524, and ChuGyouk/asdiv accuracy=0.48. Although Qiskit-specialized, its cross-task QA and reasoning evidence makes it the best-supported candidate."
C_method2_only,embedding-data/Amazon-QA,2,sdadas/mmlw-roberta-base,0.72,method2,"This is the most directly relevant model type for an embedding or sentence-similarity dataset, with measured PL-MTEB/cdsce-pairclassification accuracy=0.892 and f1=0.7 plus PL-MTEB/cbd accuracy=0.6811 and f1=0.5686. The weaker PL-MTEB/allegro-reviews accuracy=0.4026 and f1=0.356 keeps it below the top model despite strong task fit."
C_method2_only,embedding-data/Amazon-QA,3,llm-agents/tora-code-7b-v1.0,0.63,method2,"It has consistent measured results on reasoning-style QA datasets, including EleutherAI/asdiv accuracy=0.787, ChilleD/SVAMP accuracy=0.704, and Arietem/tabmwp accuracy=0.516. Its math/tool focus is not an exact Amazon-QA match, but the multi-dataset QA evidence is solid."
C_method2_only,embedding-data/Amazon-QA,4,tensorblock/deepseek-coder-6.7b-base-GGUF,0.58,method2,It shows useful measured QA-style reasoning performance on Arietem/tabmwp accuracy=0.679 and ChuGyouk/asdiv accuracy=0.672. The low EleutherAI/hendrycks_math accuracy=0.192 suggests less consistency than the higher-ranked options.
C_method2_only,embedding-data/Amazon-QA,5,FanqingM/MM-Eureka-Qwen-7B,0.52,method2,"It has strong measured results on two complex QA-oriented datasets, UWNSL/mathvista accuracy=0.73 and FanqingM/MMK12 accuracy=0.645. The evidence base is smaller and more multimodal than Amazon-QA, so it is promising but less certain."
D_claude_baseline,embedding-data/Amazon-QA,1,Alibaba-NLP/gte-Qwen2-7B-instruct,0.95,claude_baseline,"State-of-the-art general text embedding model built on Qwen2-7B, purpose-built for semantic retrieval / QA matching tasks like Amazon-QA and consistently top-ranked on MTEB retrieval."
D_claude_baseline,embedding-data/Amazon-QA,2,sentence-transformers/msmarco-distilbert-base-tas-b,0.88,claude_baseline,"A DistilBERT bi-encoder pre-trained with TAS-B on MS MARCO passage retrieval, an extremely close task match to Amazon-QA question–answer retrieval and a proven strong starting point for further fine-tuning."
D_claude_baseline,embedding-data/Amazon-QA,3,sentence-transformers/sentence-t5-base,0.80,claude_baseline,Sentence-T5 is designed to produce high-quality sentence embeddings and transfers well to QA-style semantic similarity/retrieval; a lightweight but strong bi-encoder base for Amazon-QA.
D_claude_baseline,embedding-data/Amazon-QA,4,deepset/roberta-large-squad2,0.72,claude_baseline,"RoBERTa-large already fine-tuned on SQuAD2 QA, giving it strong question-answer semantic representations that adapt well when further fine-tuned as a bi-encoder on Amazon-QA pairs."
D_claude_baseline,embedding-data/Amazon-QA,5,google-bert/bert-base-multilingual-uncased,0.65,claude_baseline,"A robust, widely used encoder backbone that is the canonical starting point for training sentence-embedding / retrieval models on QA-pair datasets like Amazon-QA via contrastive fine-tuning."
A_merged,facebook/empathetic_dialogues,1,nvidia/Llama3-ChatQA-2-8B,0.82,method1,"Strong fit because it was the best measured model on McGill-NLP/TopiOCQA, a conversational open-domain QA dataset similar to EmpatheticDialogues, with f1=0.5575. Its ChatQA specialization makes it especially relevant for dialogue-style interaction."
A_merged,facebook/empathetic_dialogues,2,TheBloke/Llama-2-13B-chat-GGUF,0.80,method1,"It achieved the top reported result on allenai/quac with accuracy=0.658, and QuAC is an English information-seeking dialogue benchmark. The chat-tuned 13B format is a good match for conversational response tasks under the 14B limit."
A_merged,facebook/empathetic_dialogues,3,McGill-NLP/roberta-large-faithcritic,0.77,method1,"It has the strongest single measured score in the neighborhood, accuracy=0.8651 on McGill-NLP/FaithDial, which is a knowledge-grounded dialogue dataset focused on faithful conversational responses. I rank it below the generative chat models because it appears more specialized as a faithfulness critic."
A_merged,facebook/empathetic_dialogues,4,MaziyarPanahi/Mistral-7B-Instruct-v0.2,0.73,method1,"It was measured on McGill-NLP/FaithDial with accuracy=0.5908, providing grounded evidence on a close dialogue benchmark. As an instruction-tuned 7B model, it is more broadly usable for empathetic dialogue generation than task-specific classifiers."
A_merged,facebook/empathetic_dialogues,5,NousResearch/Llama-2-7b-chat-hf,0.70,method1,"It achieved accuracy=0.613 on allenai/quac, a context-dependent dialogue QA dataset, giving relevant measured support. Although weaker than the 13B Llama-2 chat result on the same dataset, it remains a strong lightweight conversational candidate."
B_method1_only,facebook/empathetic_dialogues,1,nvidia/Llama3-ChatQA-2-8B,0.74,method1,"Best measured model on McGill-NLP/TopiOCQA with f1=0.5575, a conversational open-domain QA dataset with topic switching. Its chat-QA specialization makes it a strong fit for EmpatheticDialogues-style conversational QA and response modeling."
B_method1_only,facebook/empathetic_dialogues,2,TheBloke/Llama-2-13B-chat-GGUF,0.72,method1,"Tied for best measured result on allenai/quac with accuracy=0.658, an English information-seeking dialogue QA benchmark. The chat-tuned 13B format is directly relevant to open-domain dialogue settings."
B_method1_only,facebook/empathetic_dialogues,3,McGill-NLP/roberta-large-faithcritic,0.70,method1,Highest measured score on the closest evaluated neighbor McGill-NLP/FaithDial with accuracy=0.8651. I rank it below general chat models because it is a specialized faithfulness critic rather than a dialogue generation model.
B_method1_only,facebook/empathetic_dialogues,4,MaziyarPanahi/Mistral-7B-Instruct-v0.2,0.64,method1,"On McGill-NLP/FaithDial it achieved accuracy=0.5908, ahead of KoboldAI/OPT-13B-Nerys-v2 at accuracy=0.5745. Its instruction tuning should transfer reasonably to conversational response tasks despite only single-neighbor evidence."
B_method1_only,facebook/empathetic_dialogues,5,NousResearch/Llama-2-7b-chat-hf,0.61,method1,"Measured on allenai/quac with accuracy=0.613, the best tier among 7B chat Llama-2 variants listed there. It is weaker than the 13B Llama-2 chat result but remains a relevant compact dialogue-oriented option."
C_method2_only,facebook/empathetic_dialogues,1,l3utterfly/llama2-7b-layla,0.78,method2,"Best fit by task orientation because it is fine-tuned for multi-turn conversations, and it has strong measured general-language results on Rowan/hellaswag with accuracy=0.7934 and allenai/ai2_arc with accuracy=0.5418. The weak EleutherAI/drop f1=0.0657 is a concern, but dialogue relevance makes it the strongest candidate."
C_method2_only,facebook/empathetic_dialogues,2,beomi/Yi-Ko-6B,0.70,method2,"Good measured consistency across three evaluations, including allenai/winogrande accuracy=0.7293, Blpeng/nsmc accuracy=0.5506, and allenai/ai2_arc accuracy=0.4889. Its GNN predicted-performance is also relatively strong at 0.6402, supporting it as a robust general text-generation option."
C_method2_only,facebook/empathetic_dialogues,3,baichuan-inc/Baichuan2-7B-Base,0.66,method2,"Has the broadest solid measured track record among the higher-GNN candidates, with SeaEval/cmmlu accuracy=0.5707, shuyuej/MedQA-MCMLE-Benchmark accuracy=0.5493, RUCAIBox/gaokao-bench accuracy=0.4747, and SaylorTwift/bbh accuracy=0.4156. This consistency across four datasets offsets the lack of direct dialogue measurements."
C_method2_only,facebook/empathetic_dialogues,4,TheBloke/Yi-6B-GGUF,0.61,method2,"Shows strong measured capability on RUCAIBox/gaokao-bench with accuracy=0.722 and a usable result on Joschka/big_bench_hard with accuracy=0.428. Its GNN predicted-performance is high at 0.7256, though the low link score makes this a less certain fit for empathetic dialogue."
C_method2_only,facebook/empathetic_dialogues,5,onnx-community/Llama-3.2-1B-Instruct-q4f16,0.56,method2,"Task fit is helped by its instruction-tuned dialogue orientation, and it has measured results on google/IFEval with accuracy=0.595, Rowan/hellaswag with accuracy=0.412, and allenai/quac with f1=0.379. The smaller 1B size and lower allenai/ai2_arc accuracy=0.328 keep it below the stronger 6B-7B options."
D_claude_baseline,facebook/empathetic_dialogues,1,Qwen/Qwen2.5-14B-Instruct,0.92,claude_baseline,"Largest allowed strong general-purpose chat model with excellent instruction-following and conversational quality; consistently top-tier on open-ended dialogue benchmarks, making it ideal for empathetic response generation."
D_claude_baseline,facebook/empathetic_dialogues,2,google/gemma-2-9b-it,0.9,claude_baseline,"Google's 9B instruction-tuned model with strong RLHF alignment; known for warm, natural, and safe conversational style well-suited to empathetic listener responses."
D_claude_baseline,facebook/empathetic_dialogues,3,meta-llama/Llama-3.1-8B-Instruct,0.88,claude_baseline,"Meta's flagship 8B chat model with extensive RLHF; produces fluent, contextually-appropriate dialogue and handles emotional/social nuance well."
D_claude_baseline,facebook/empathetic_dialogues,4,Qwen/Qwen2.5-7B-Instruct,0.85,claude_baseline,"Strong 7B chat model from Qwen2.5 family with excellent multi-turn dialogue ability and instruction adherence, an efficient yet capable choice for empathetic response fine-tuning."
D_claude_baseline,facebook/empathetic_dialogues,5,mistralai/Mistral-7B-Instruct-v0.3,0.8,claude_baseline,Well-established 7B instruction-tuned model widely used as a fine-tuning base for dialogue tasks; solid baseline for empathetic conversation modeling on this dataset.
A_merged,fancyzhx/amazon_polarity,1,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,0.94,method1,Best measured evidence on the closest evaluated neighbor: Yelp/yelp_review_full has cosine similarity 0.7497 to the query and this model achieved f1=0.988. It is directly aligned with review sentiment classification and substantially outperforms other measured neighborhood models.
A_merged,fancyzhx/amazon_polarity,2,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,0.91,method1,Strong measured result on the closest review-sentiment neighbor Yelp/yelp_review_full with f1=0.979. It is slightly behind the large variant but still has excellent direct evidence for sentiment classification on similar review text.
A_merged,fancyzhx/amazon_polarity,3,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,0.86,method1,"Also measured on the closest neighbor Yelp/yelp_review_full and achieved accuracy=0.967. Although the metric differs from the top two and the model is smaller, the result is still very strong on a highly similar sentiment dataset."
A_merged,fancyzhx/amazon_polarity,4,wonrax/phobert-base-vietnamese-sentiment,0.77,method2,"The GNN predicts strong suitability with predicted-performance=0.7755, and the model has consistent measured sentiment results across several datasets: SEACrowd/uit_vsfc f1=0.7953, SEACrowd/uit_viocd f1=0.7813, and visolex/ViSFD f1=0.6698. Its evidence is less direct for English Amazon polarity but useful if the bilingual or Vietnamese-translated setting matters."
A_merged,fancyzhx/amazon_polarity,5,gauneg/roberta-base-absa-ate-sentiment,0.72,method1,"This model has measured Source A evidence on another sentiment-related neighbor, Chow05/SemEval-2014-Task-4, with f1=0.8632. The task is more aspect/token-oriented than Amazon polarity, so it ranks below the Yelp-proven models despite solid sentiment performance."
B_method1_only,fancyzhx/amazon_polarity,1,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,0.96,method1,"Best direct match: it achieved f1=0.988 on Yelp/yelp_review_full, an English review sentiment dataset with high similarity to the query dataset."
B_method1_only,fancyzhx/amazon_polarity,2,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,0.93,method1,"Very strong direct evidence from Yelp/yelp_review_full with f1=0.979, indicating excellent transfer potential for binary Amazon review sentiment classification."
B_method1_only,fancyzhx/amazon_polarity,3,MoritzLaurer/deberta-v3-xsmall-zeroshot-v1.1-all-33,0.88,method1,"Strong measured result on the highly similar Yelp/yelp_review_full review sentiment task with accuracy=0.967, though below the larger DeBERTa zero-shot variants."
B_method1_only,fancyzhx/amazon_polarity,4,gauneg/roberta-base-absa-ate-sentiment,0.72,method1,"Task-relevant sentiment evidence from Chow05/SemEval-2014-Task-4 with f1=0.8632, but the dataset is less similar and focused on aspect-based sentiment rather than full-review polarity."
B_method1_only,fancyzhx/amazon_polarity,5,tasksource/ModernBERT-large-nli,0.64,method1,"It has strong general text-classification evidence on stanfordnlp/snli with accuracy=0.94, but SNLI is an NLI dataset rather than a review sentiment benchmark, so transfer confidence is lower."
C_method2_only,fancyzhx/amazon_polarity,1,wonrax/phobert-base-vietnamese-sentiment,0.88,method2,"Best task match: it is a Vietnamese sentiment model with consistent measured results on several Vietnamese sentiment datasets, including SEACrowd/uit_vsfc accuracy=0.7637 and f1=0.7953, SEACrowd/uit_viocd accuracy=0.7468 and f1=0.7813, and visolex/ViSFD accuracy=0.679 and f1=0.6698. Its GNN predicted-performance is also high at 0.7755."
C_method2_only,fancyzhx/amazon_polarity,2,duyv/wonrax-phobert-base-vietnamese-sentiment,0.80,method2,This appears to be the same Vietnamese PhoBERT sentiment specialization and has direct measured evidence on SEACrowd/uit_viocd accuracy=0.7468 and f1=0.7813 plus SEACrowd/vlsp2016_sa accuracy=0.6165 and f1=0.6001. It is ranked below wonrax/phobert-base-vietnamese-sentiment because it has fewer recorded evaluations.
C_method2_only,fancyzhx/amazon_polarity,3,mradermacher/llama3-8b-cpt-sea-lionv2-instruct-GGUF,0.76,method2,Strong SEA-oriented general model with a directly relevant measured sentiment result on aisingapore/NLU-Sentiment-Analysis f1=0.8472. It also shows useful multilingual capability on aisingapore/NLG-Machine-Translation chrf=0.6671 and aisingapore/NLU-Question-Answering f1=0.7223.
C_method2_only,fancyzhx/amazon_polarity,4,MERaLiON/LLaMA-3-MERaLiON-8B-Instruct,0.65,method2,"Promising multilingual Southeast Asian instruction model, though without direct sentiment evidence in the record. Its measured results are strong on SeaEval/cross_mmlu accuracy=0.847, with additional results on SeaEval/cross_logiqa accuracy=0.591 and SeaEval/cn_eval accuracy=0.514."
C_method2_only,fancyzhx/amazon_polarity,5,NCSOFT/VARCO-VISION-2.0-14B,0.56,method2,"Less directly aligned to Vietnamese text sentiment, but it meets the 14B limit and has a strong measured record across several evaluations, including asuglia/coco_pope accuracy=0.892, NCSOFT/K-MMBench accuracy=0.877, NCSOFT/K-DTCBench accuracy=0.783, and NCSOFT/K-SEED accuracy=0.772. Its GNN predicted-performance is also relatively high at 0.7687."
D_claude_baseline,fancyzhx/amazon_polarity,1,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.95,claude_baseline,DeBERTa-v3-large is SOTA for text classification at its size; this zero-shot variant is pre-tuned on NLI/classification and fine-tunes exceptionally well on binary sentiment tasks like Amazon Polarity.
D_claude_baseline,fancyzhx/amazon_polarity,2,answerdotai/ModernBERT-Large-Instruct,0.92,claude_baseline,ModernBERT-Large is a modern encoder with long context and strong classification performance; the instruct-tuned variant adapts easily to sentiment tasks and typically matches or exceeds DeBERTa on such benchmarks.
D_claude_baseline,fancyzhx/amazon_polarity,3,MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,0.90,claude_baseline,"DeBERTa-v3-large fine-tuned on multiple NLI datasets provides excellent transfer to binary sentiment classification, with proven strong performance on polarity-style tasks."
D_claude_baseline,fancyzhx/amazon_polarity,4,Qwen/Qwen2.5-14B-Instruct,0.88,claude_baseline,"One of the strongest sub-15B LLMs; when fine-tuned or used with few-shot prompting on Amazon Polarity it achieves top-tier accuracy, though at higher compute cost than encoders."
D_claude_baseline,fancyzhx/amazon_polarity,5,meta-llama/Llama-3.1-8B-Instruct,0.85,claude_baseline,Well-established 8B instruction-tuned LLM with strong general language understanding; fine-tuning on Amazon Polarity yields very high accuracy and it also performs well few-shot.
A_merged,fancyzhx/dbpedia_14,1,MoritzLaurer/deberta-v3-large-zeroshot-v2.0-c,0.83,method2,"Strong zero-shot text-classification fit for DBpedia14 topic labels, with high measured results on Yelp/yelp_review_full f1=0.988 and solid transfer evidence on ArtGarfunkel/FinancialPhraseBank f1=0.691 and allenai/social_bias_frames f1=0.644. The GNN also predicts a high normalized performance of 0.7830."
A_merged,fancyzhx/dbpedia_14,2,MoritzLaurer/deberta-v3-large-zeroshot-v2.0,0.79,method2,"Consistent measured text-classification track record across several datasets, including OxAISH-AL-LLM/wiki_toxic f1=0.787, allenai/social_bias_frames f1=0.656, PolyAI/banking77 f1=0.567, and AmazonScience/massive f1=0.518. Its GNN predicted-performance score is also strong at 0.7510."
A_merged,fancyzhx/dbpedia_14,3,MoritzLaurer/deberta-v3-base-zeroshot-v2.0-c,0.75,method2,A smaller but still strong zero-shot classifier with excellent measured performance on Yelp/yelp_review_full f1=0.979 and good results on OxAISH-AL-LLM/wiki_toxic f1=0.751. It also has relevant multi-domain evidence from AmazonScience/massive f1=0.512 and PolyAI/banking77 f1=0.421.
A_merged,fancyzhx/dbpedia_14,4,MoritzLaurer/roberta-base-zeroshot-v2.0-c,0.72,method2,"This is the GNN's top listed candidate with combined score 0.0861 and predicted-performance 0.6397, making it the most graph-plausible zero-shot recommendation. Its measured record includes OxAISH-AL-LLM/wiki_toxic f1=0.751, allenai/social_bias_frames f1=0.571, and AmazonScience/massive f1=0.428."
A_merged,fancyzhx/dbpedia_14,5,dima806/news-category-classifier-distilbert,0.66,method1,"This model has direct measured evidence on the closest retrieved neighbor, heegyu/news-category-dataset, which is a topical news/document classification task similar in spirit to DBpedia14, with accuracy=0.7073 and f1=0.608. The performance is moderate, but the dataset match is the strongest measured neighborhood evidence."
